ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto
iDR3.SPLUS-s27s34.037661,54.3920210185196,-34.37566337659687,0.3598329,0.4185621,1.7198743,"[1.1972542,1.9676358,2.3645349,2.8871136]",0.0,0,7.2020664,18.078362,1.3712698,99.0,21.470964,21.554943,0.47740418,21.56387,0.8623636,21.474236,0.67296696,99.0,21.161001,22.199005,0.7843796,99.0,20.941126,21.874128,0.52680564,21.6869,21.859177,22.788298,1.3466437,21.395838,0.42987898,21.152874,0.74932,99.0,21.296223
iDR3.SPLUS-s27s34.037672,54.504536715475545,-34.37853656359988,0.34865132,0.1422543,1.1658467,"[1.4124589,2.58634,4.6744676,6.2929993]",5.788865,1,8.812497,18.465492,1.0488333,22.959538,2.169383,22.24248,1.0060198,21.63526,1.0362371,99.0,20.80195,99.0,21.161001,22.334152,1.0029438,23.505253,6.1146016,21.609573,0.46645996,21.66951,21.594189,21.723831,0.5718438,21.460218,0.51569,20.944763,0.69931734,21.065468,0.66963774
iDR3.SPLUS-s27s34.037715,54.3443863104173,-34.25735630906289,0.010758707,0.104126394,1.1162289,"[1.3675741,2.7771378,4.3577533,7.337321]",4.9700093,17,7.773172,17.373287,1.6828301,20.548237,0.33530343,99.0,21.615349,20.866505,0.72403514,20.814066,0.6083655,99.0,21.161001,22.215517,1.3244317,20.04378,0.37388203,21.622496,0.6867785,21.689201,21.604105,20.140266,0.19459976,19.784311,0.16197449,19.374357,0.24115881,19.113525,0.16252789
iDR3.SPLUS-s27s34.037720,54.29962832966341,-34.40665042633978,0.48014107,0.28622562,1.401003,"[0.8766194,1.5456562,2.402579,3.5999887]",5.175958,3,7.2593293,18.086111,1.0299008,23.853264,3.7078867,23.732805,2.970062,99.0,20.651947,99.0,20.80195,24.0305,5.834081,99.0,21.81472,21.146742,0.5266546,22.1364,0.56824315,22.297024,22.782448,21.89572,0.5031423,20.829243,0.21712281,21.000675,0.5526862,20.86357,0.41733435
iDR3.SPLUS-s27s34.037723,54.15740977877429,-34.38496643862499,0.05882166,0.23973256,1.3153266,"[,3.652132,8.021914,12.209201,16.625622]",15.434967,5,8.260509,18.22547,2.9516547,20.550987,0.5887322,20.446873,0.47942913,20.539474,0.93831915,18.926193,0.18226862,18.985949,0.18844488,20.562925,0.48997703,99.0,20.941126,19.818666,0.22322531,21.196043,19.942034,20.312649,0.38788557,19.915457,0.3095513,99.0,20.858423,18.960999,0.24052888
iDR3.SPLUS-s27s34.037733,54.19490815038246,-34.330830635452365,0.46167582,0.1863054,1.2289623,"[1.2606925,2.3892596,4.19101,6.499278]",6.1271887,4,6.5004325,17.866684,1.3050352,99.0,21.470964,99.0,21.615349,99.0,20.651947,22.664951,2.0516515,24.485573,10.71931,23.206087,2.0294318,99.0,20.941126,20.936428,0.22737405,21.274796,20.444298,21.63689,0.476643,20.597366,0.21173954,21.30533,0.8822737,20.356356,0.31617996
iDR3.SPLUS-s27s34.037739,53.62531542667601,-34.47710106321252,0.44604975,0.38313627,1.6211036,"[1.2157152,2.8474286,3.9209366,5.8525925]",5.0709953,5,6.828563,17.89113,1.4365267,22.911568,1.8181803,24.150751,5.084648,20.846577,0.44334614,22.334023,1.510145,24.397661,9.85868,21.669956,0.49328718,20.279713,0.28697318,20.842493,0.20600171,21.374605,21.430819,21.422932,0.38675386,20.969904,0.29864812,20.415516,0.3904141,21.702646,1.0912247
iDR3.SPLUS-s27s34.037748,53.43948687836881,-34.47282378691231,0.35279396,0.21872169,1.2799536,"[1.6027211,4.7093973,6.6491337,6.6491337]",4.5508137,3,8.274738,18.247972,1.108189,99.0,21.470964,22.463682,1.1120626,23.377644,4.6285367,99.0,20.80195,99.0,21.161001,99.0,21.81472,22.781425,3.0310435,20.910032,0.23136058,21.637077,21.561405,21.458117,0.42187697,20.783924,0.26631263,19.766382,0.22626425,20.107147,0.26443413
iDR3.SPLUS-s27s34.037756,54.97175302149438,-34.3777671425068,0.24189879,0.30778724,1.4446425,"[1.1887863,2.581615,4.1957035,5.7012625]",6.21855,4,7.297894,18.091938,1.2529628,99.0,21.470964,99.0,21.615349,20.864822,0.4439475,99.0,20.80195,99.0,21.161001,22.035936,0.673015,23.508245,5.4089637,22.049685,0.60820806,21.796873,21.761105,21.701069,0.48762476,21.113207,0.33040315,20.380844,0.3672107,20.43576,0.33059967
iDR3.SPLUS-s27s34.037757,54.08208844934947,-34.47011765200375,0.36598465,0.23888415,1.3138604,"[1.1434664,2.190136,3.439018,5.1535277]",0.0,1,7.877062,18.35939,0.94966453,21.186584,0.3268646,22.518436,0.99326414,23.697008,5.2641597,99.0,20.80195,21.635683,0.66158897,22.853834,1.2377062,21.560688,0.78358847,21.430914,0.30305028,21.572664,21.418451,21.358667,0.3133099,22.76458,1.3069516,23.104984,3.8985975,20.99968,0.4820578
iDR3.SPLUS-s27s34.037765,54.49253951533767,-34.312440725990555,0.31304812,0.1025337,1.1142479,"[1.3857062,3.9671016,5.12487,5.988658]",4.1427717,3,8.842442,18.193707,0.9981097,25.421257,20.335876,99.0,21.615349,22.10639,1.5514207,22.766039,2.4256482,99.0,21.161001,21.702831,0.54921097,99.0,20.941126,21.873493,0.57981765,22.41146,22.617826,22.10148,0.78907114,20.848225,0.28787985,20.433527,0.42797726,20.129822,0.27734908
iDR3.SPLUS-s27s34.037776,53.94601378097563,-34.37669618967794,0.36523488,0.35883528,1.5596616,"[1.3348253,2.521516,3.9045792,7.841484]",6.2428718,1,7.9865522,18.28271,1.306914,23.32933,2.952614,99.0,21.615349,99.0,20.651947,99.0,20.80195,21.321077,0.6306803,22.68908,1.356469,99.0,20.941126,21.205687,0.31256422,21.663313,21.477028,21.098717,0.31293783,21.828176,0.7059268,20.6702,0.5310318,21.84191,1.3364636
iDR3.SPLUS-s27s34.037777,54.077072766099,-34.33432673188545,0.2685553,0.37246305,1.5935317,"[1.1733547,2.1170983,2.7096517,3.451195]",7.0746646,4,8.290023,18.016014,1.4949524,21.313686,0.5474478,21.0412,0.38408855,99.0,20.651947,22.066383,1.5075194,22.16685,1.6189914,99.0,21.81472,21.90177,1.6169087,21.647018,0.5537539,22.067799,21.784857,21.79041,0.69727075,20.842371,0.33698723,19.953697,0.32468012,20.482203,0.4517775
iDR3.SPLUS-s27s34.037779,54.16894862902903,-34.41137310211306,0.08468207,0.26345295,1.3576865,"[,2.1673982,6.374969,8.253494,10.32514]",9.6527405,8,9.134702,17.951757,1.8784472,22.801384,3.2424426,99.0,21.615349,99.0,20.651947,22.013464,2.147917,22.483738,3.2420726,20.907377,0.46736816,21.061985,1.1180321,21.002876,0.46066678,21.510178,21.045212,20.519238,0.32611454,19.422758,0.1370251,19.467285,0.31076336,19.208164,0.20983607
iDR3.SPLUS-s27s34.037785,53.41255172596618,-34.37794054814569,0.36723584,0.65408003,2.890842,"[1.1009071,1.9046447,2.6965866,4.996584]",4.5052457,1,7.8809037,18.447952,1.2914323,21.80394,0.5043339,21.832447,0.46750885,21.78521,0.8012378,99.0,20.80195,99.0,21.161001,24.40402,4.835324,99.0,20.941126,22.346067,0.64303416,22.669094,22.41242,22.313908,0.68923014,21.610556,0.42465985,22.651423,2.3809097,22.598091,1.9436866
iDR3.SPLUS-s27s34.037786,53.806442278596535,-34.330118019461864,0.08832583,0.18242943,1.2231361,"[1.1507419,2.024129,2.490108,2.9130037]",8.4963455,2,6.517734,18.404097,1.5705576,99.0,21.470964,22.271532,1.0996932,99.0,20.651947,99.0,20.80195,23.325968,4.449488,25.147535,14.631433,99.0,20.941126,21.438953,0.42958906,22.023022,21.494175,21.89704,0.7221351,21.494583,0.5827693,21.040552,0.8348232,20.836016,0.59286034
iDR3.SPLUS-s27s34.037795,54.261543062929164,-34.377036278029514,0.065578125,0.1627081,1.1943266,"[1.6479846,3.9510803,8.589315,8.589315]",7.8324685,9,7.0393524,18.174854,1.4315525,99.0,21.470964,22.668879,1.6172321,20.753124,0.503274,20.798407,0.44484615,99.0,21.161001,20.680582,0.23914813,24.034027,10.820608,20.588352,0.19873455,21.287146,20.691288,21.002037,0.32039785,20.476141,0.22670512,19.855425,0.27948582,20.610643,0.47864664
iDR3.SPLUS-s27s34.037804,53.682409772399424,-34.46849161777842,0.36496058,0.50712,2.0288916,"[0.9295769,1.7354331,2.457313,3.106725]",5.102051,1,8.38491,18.239412,1.2220087,99.0,21.470964,99.0,21.615349,22.647722,2.133485,22.75524,2.0634844,21.941885,0.9589589,22.018509,0.6305601,21.612068,0.900962,22.259274,0.700439,21.866087,21.8692,26.745352,48.00932,22.053667,0.74966717,23.046288,4.067028,22.076748,1.4287865
iDR3.SPLUS-s27s34.037813,53.96948720933049,-34.380784738251116,0.001551176,0.28046674,1.3897898,"[,1.4381193,2.7128496,4.140726,10.42049]",8.816256,10,6.81797,18.031776,1.7367483,99.0,21.470964,23.391222,3.3986604,20.960537,0.6570587,21.088192,0.6311508,21.60896,0.99552935,22.387396,1.2493742,22.062094,1.9225264,20.69826,0.23833105,21.16869,20.786177,21.00926,0.34987423,20.77429,0.32577768,23.2978,7.2396483,19.924208,0.27855366
iDR3.SPLUS-s27s34.037837,54.251735541496956,-34.381787077382924,0.083112866,0.25672746,1.3454015,"[,1.8880825,4.7639437,7.804583,11.098299]",7.8481417,17,7.413529,17.428988,2.6553822,99.0,21.470964,21.490614,1.0033556,21.74852,2.2880263,20.204573,0.47018042,20.144152,0.43566835,19.907108,0.21488407,20.423508,0.7162729,19.747053,0.16776635,20.512281,19.232649,19.192776,0.11158846,20.002134,0.26833996,18.862005,0.20533791,18.853592,0.17449565
iDR3.SPLUS-s27s34.037842,53.98924958773058,-34.381171750736186,0.39068586,0.16025126,1.1908324,"[1.8193659,3.2414973,4.767568,7.044847]",9.008057,2,6.6018724,18.13009,1.64239,21.77023,0.8382503,22.30709,1.2297968,20.74107,0.5270534,20.566513,0.38441718,23.210983,4.2490253,21.893538,0.77718663,20.469456,0.43652108,21.293753,0.4030564,21.084925,21.252419,21.093616,0.37033904,20.403028,0.22707759,99.0,20.858423,20.267418,0.37401688
